25,1500,1125,0.00155,424,,,
0,53,208,1489,1444,,,
0,53,182,1487,1311,,,
0,53,156,1487,1168,,,
0,53,130,1486,1017,,,
0,53,104,1485,859,,,
0,27,208,1600,1401,,,
0,27,182,1603,1274,,,
0,27,156,1605,1136,,,
0,27,130,1607,993,,,
0,27,104,1609,842,,,
0,79,208,1368,1489,,,
0,79,182,1363,1351,,,
0,79,156,1357,1203,,,
0,79,130,1353,1045,,,
0,79,104,1348,878,,,
0,105,182,1226,1395,,,
0,105,156,1215,1240,,,
0,105,130,1205,1075,,,
7,0,208,1730,1372,,,
7,0,182,1737,1249,,,
7,0,156,1743,1115,,,
7,0,130,1750,978,,,
33,0,182,1835,1290,,,
33,0,156,1845,1151,,,
33,0,130,1854,1006,,,
